#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1403638519706830336,4.3961820353860714,-1.732116762059394,0.69525031427957595
1403638519806830336,4.3961814309168936,-1.7321083685028951,0.69522894645766597
1403638519855830528,4.3961642905609937,-1.7321414163013049,0.69520644460819503
1403638519907830272,4.3961802003571586,-1.7321118188593789,0.69522965055307495
1403638519955830272,4.3961693591807727,-1.732138420946735,0.69522768531694301
1403638520057830400,4.3961802241379182,-1.732101412588511,0.69520738331258003
1403638520106830336,4.3961804807834168,-1.7321035863437171,0.69521346370538795
1403638520154830336,4.3961711370303256,-1.732123552671782,0.69520539595823505
1403638520206830336,4.3961758768425252,-1.7321226261641021,0.69522929340525796
1403638520255830272,4.3961736726120204,-1.732124956289474,0.695222267672578
1403638520307830272,4.3961929532947748,-1.7320799368964011,0.69523069641513802
1403638520357830400,4.3961724145699446,-1.7321310491941639,0.695228509333776
1403638520408830464,4.3961804075180959,-1.732111522069522,0.69523014341987599
1403638520456830208,4.3961673730094866,-1.7321430015778441,0.69522669466793297
1403638520559830528,4.3961736122791883,-1.7321187015868129,0.69520847620220005
1403638520605830400,4.3961771861586563,-1.732118880175094,0.69522838318135205
1403638520658830336,4.3961790730367278,-1.7321150071822691,0.69523035464850302
1403638520706830336,4.3961763692374518,-1.732121509674214,0.69522958014353298
1403638520806830336,4.3961665373425349,-1.732135932824638,0.69520691563854498
1403638520856830464,4.396176385093451,-1.73212751955897,0.69524260209424205
1403638520908830464,4.3961788017421384,-1.732114976043893,0.69522880563858502
1403638520958830336,4.3961734045035143,-1.732128968812725,0.69522943932444903
1403638521007830272,4.3961763900454169,-1.732115396045137,0.69521653544106599
1403638521056830464,4.396174472548152,-1.7321258328224149,0.69522852400042601
1403638521108830464,4.3961709916094511,-1.7321237611632001,0.69520505032640201
1403638521156830208,4.3961434351408739,-1.7321817224511249,0.69517927422701697
1403638521258830336,4.3970617344266527,-1.7325319208652219,0.69499337753662505
1403638521309830400,4.3961187154435502,-1.73222528682954,0.69513801301650502
1403638521358830336,4.3961407253156768,-1.7321759456352139,0.69515203967878803
1403638521408830464,4.3961472433993398,-1.732168889970773,0.69517245726057297
1403638521457830400,4.3961139680250421,-1.7322327427762201,0.69512812962718296
1403638521558830336,4.3970246100348209,-1.732622599785743,0.694985763560104
1403638521608830464,4.3970394070431684,-1.732576387205828,0.69496712434905605
1403638521657830144,4.3961181837822156,-1.7322301403380289,0.69514555490154994
1403638521708830464,4.3961655916395781,-1.732137911763169,0.69520600897589702
1403638521757830400,4.396188101778371,-1.732091269066437,0.695228584128879
1403638521805830144,4.3971346041687562,-1.7323941013858151,0.69509480970944804
1403638521855830528,4.3971478122154526,-1.732361896670531,0.69509765093216502
1403638521958830336,4.3970528916322547,-1.7325667225413159,0.69501997824227302
1403638522006830336,4.3961742359982123,-1.732143386028109,0.69526501302504495
1403638522055830272,4.3962447502463853,-1.732034327734699,0.69541550769330696
1403638522106830336,4.3972123555928251,-1.7323908095263469,0.69551258769105995
1403638522156830208,4.3972920391002139,-1.7322908833141579,0.69573298501152203
1403638522205830400,4.3974527981382119,-1.731971852920094,0.69592487841512296
1403638522306830336,4.3974142528834488,-1.729941143152135,0.69730544706342401
1403638522360830208,4.3981850045448487,-1.7295115927571789,0.70060940651118397
1403638522408830464,4.3974843797880236,-1.7285598094608281,0.70670918645380398
1403638522457830400,4.397817977793351,-1.7287066184582289,0.71496035617709097
1403638522507830272,4.398578093427715,-1.729259518183091,0.72662452519398402
1403638522555830272,4.3969925883797769,-1.728501177858057,0.74080332488087197
1403638522607830272,4.3989259670902356,-1.7289508804204701,0.75956129851884102
1403638522707830528,4.4038158019381557,-1.7284373240271591,0.80153872166861395
1403638522758830336,4.4068198927239219,-1.7275794297180189,0.82562500612315404
1403638522806830336,4.4095317224398149,-1.726560384229533,0.84820889394547005
1403638522857830400,4.4122070701203393,-1.7256486358666621,0.871654153689985
1403638522906830336,4.4149291023948107,-1.7241142936994249,0.894585761295982
1403638522958830336,4.4151526069972666,-1.7207596632413009,0.91870879193896304
1403638523057830400,4.4182354406473019,-1.7170721096819439,0.96598963902830803
1403638523107830272,4.4213622538647464,-1.7166044088415211,0.990948782282702
1403638523158830336,4.4239270816963234,-1.717026053753016,1.015233415587091
1403638523210830336,4.4260953143692818,-1.7180798132039099,1.039359277918354
1403638523308830208,4.4309200277470158,-1.720551824249231,1.0756868676717111
1403638523357830400,4.4327190091869442,-1.721636920388764,1.087803014389384
1403638523409830400,4.4337948408125873,-1.7233518537057599,1.095022323453017
1403638523457830400,4.4339401930970563,-1.726021728828649,1.096195637734372
1403638523955830272,4.4511474209497264,-1.747710270564093,0.90251864162278095
1403638524054830336,4.4473566867374013,-1.7524465551219031,0.857576598609052
1403638524108830464,4.445605152577623,-1.7565502045398029,0.83454322476268505
1403638524154830336,4.4445620099095251,-1.7605730592213411,0.81668177383484697
1403638524207830528,4.4437213801738924,-1.7642473969603629,0.79969405856018005
1403638524255830272,4.4411987800726571,-1.7659668419353689,0.78812111800392204
1403638524306830336,4.4399610686430337,-1.7667695734347331,0.78241513644458405
1403638524355830528,4.4391192824092647,-1.7669092112297029,0.78428672717827796
1403638524857830400,4.4562412787070329,-1.762599455901402,1.0300985928035069
1403638524958830336,4.4557040351166526,-1.7545927997681781,1.0795516047397511
1403638525007830272,4.4548682844777137,-1.750205312784787,1.098553253745838
1403638525056830464,4.4545917835148492,-1.746235862255179,1.1143943947715029
1403638525108830464,4.4548528925986464,-1.7428692741741809,1.127287112725659
1403638525160830208,4.4545896209374058,-1.739967580078666,1.1364373350000461
1403638525208830464,4.4552973962033802,-1.738986346795228,1.1404373977561499
1403638525458830336,4.4556858027475554,-1.735505397104431,1.080113715144561
1403638525855830528,4.455629994938735,-1.732053522428108,0.89045876926581302
1403638525908830464,4.4574501102829052,-1.7339281217870279,0.86989097159218498
1403638525958830336,4.4568577974071228,-1.7347953442037081,0.85299912120375498
1403638526008830208,4.4553153660422193,-1.7356675126668699,0.83744194871460298
1403638526057830400,4.4541365848124794,-1.736500312584522,0.82453772660321101
1403638526155830272,4.4514701955989286,-1.738633869982092,0.80556630481830005
1403638526205830400,4.45150607210849,-1.7420208158941359,0.80039242077580597
1403638526307830272,4.463884948345342,-1.756345349923591,0.79748631041875895
1403638526456830208,4.5133879005838127,-1.796885276120274,0.80671465798994302
1403638526556830464,4.5261199124410014,-1.8226514741531119,0.82241145925279302
1403638526657830144,4.5386978911722462,-1.8535101473718401,0.83742247740669096
1403638526708830464,4.5511172885590518,-1.873158832253671,0.84325198576655003
1403638526758830336,4.5614598517635514,-1.8921973403249159,0.84844328467323604
1403638526809830400,4.5949446038103234,-1.922354394917035,0.84955754584229703
1403638526855830528,4.6093644091085126,-1.943602455995197,0.85221733671185795
1403638526906830336,4.6247388113160257,-1.9676980201540151,0.85504200375620898
1403638526956830208,4.6399174919077124,-1.991963246732257,0.85743969191290703
1403638527006830336,4.6557454729353287,-2.0170166744360052,0.85951644812247896
1403638527055830272,4.6731437056574077,-2.0431100017716131,0.86079321419467703
1403638527106830336,4.689708574043749,-2.0684589824736279,0.86211131804594798
1403638527155830272,4.7045232947932893,-2.0927137518920089,0.86365958317325897
1403638527206830336,4.7423004442307022,-2.126315682178769,0.86230168020407105
1403638527307830272,4.771316999275963,-2.1685632393480572,0.86650079891009202
1403638527357830400,4.7849980699487977,-2.1879214559906579,0.86927417475901503
1403638527407830272,4.7983531837255162,-2.2054798116924639,0.87197273431176903
1403638527454830336,4.8104342511256872,-2.2209345439274779,0.87467384155956496
1403638527507830272,4.8222156483502276,-2.2345437066352001,0.87718862057666003
1403638527608830464,4.8453921851869408,-2.2523122237998332,0.87987164752938796
1403638527708830464,4.8489991759276014,-2.2498056002201601,0.88161700241730301
1403638527756830464,4.8484333035027154,-2.243869089333546,0.88170917580071895
1403638527808830208,4.8465242838878604,-2.2335021432958171,0.88136797423515001
1403638527857830400,4.8416067141435573,-2.2199187837424939,0.88072953071802995
1403638527908830464,4.8231225220144296,-2.1975411198178518,0.88126396010418595
1403638527956830208,4.8130437399539314,-2.1779410638785741,0.87986067610987395
1403638528057830400,4.7943351272837731,-2.1330848412712129,0.87825212175999001
1403638528107830272,4.7838296833242557,-2.1098149143757339,0.87912445077363399
1403638528157830144,4.7724498880218729,-2.0860568228999981,0.88055456862029202
1403638528208830464,4.7602269078228083,-2.061524733713219,0.88184015397030202
1403638528305830144,4.7126911588170231,-2.0048279178450299,0.885399183496826
1403638528356830464,4.6996982551508362,-1.9809770522258909,0.88445974446154596
1403638528406830336,4.6876564109607077,-1.9571191390886471,0.882912060478244
1403638528457830400,4.6776739331207207,-1.9331398978423009,0.88058340771389298
1403638528506830336,4.6689370467476508,-1.908417184028147,0.87772429360450599
1403638528558830336,4.6635585654911136,-1.883037536352369,0.87426694153971096
1403638528608830464,4.6615573561905794,-1.859675689488723,0.87041597103928203
1403638528658830336,4.6540195227911374,-1.8339558108377061,0.86755344496493403
1403638528708830464,4.6576749809537299,-1.8122635876182049,0.86382145026290602
1403638528808830208,4.6668469146341254,-1.7697657953333259,0.85890312740198405
1403638528856830464,4.6736381233076738,-1.751127455799252,0.857197054011963
